word,frequency
پایینامدن,0
جمعی,114473
پاییزه,6190
بهکاربردن,0
جلف,2071
جفتکردن,0
بوستان,18441
جعبه,18616
نورسیده,168
جشن,98245
نوزدهفروردین,0
نوبتی,1369
بودادن,48
جلد,24829
جلب,98784
نوباوگی,22
توس,5240
تصمیمگرفتن,0
تضاد,14564
تصور,109058
تعقیب,28641
تصمیم,363858
وابسته,98930
ولایت,74787
تاواندادن,0
هیهات,1418
تعصبی,795
تعصب,7301
تعدیکردن,0
تعجبزده,0
تصفیه,30937
تاکردن,12
تب,43906
تصدیق,3691
واجب,19290
تباهی,2597
تشکیلشدن,0
تباهکردن,0
تصرف,25922
وابستهکردن,0
وابستگی,46160
تصرفکردن,0
هیجان,36318
هنرپیشه,5916
هوانوردی,13702
هواخواه,246
تفکیککردن,0
تفننی,770
تفریحی,20706
هواکشیدن,1
تقدمداشتن,0
تقسیمنمودن,0
تاختن,416
تقسیم,75372
تاخوردن,14
هنگام,180079
تارک,1048
تغییر,571940
تغذیه,89902
ویترای,64
تاسیسکردن,0
تعویضکردن,0
تعویض,37387
تاس,2028
هود,1853
تفحص,28790
تازه,290783
تازهوارد,0
تشویقکردن,0
وزن,156598
تحقیق,110241
وجود,1710004
وقفکردن,0
تراشیدن,1102
تحول,106453
وحشی,10585
وزیر,1415667
تحصیل,80800
وسعتیافتن,0
وسعتدادن,0
تحریم,328884
ترجمهکردن,0
ترجمه,51414
ترادف,26
وزارت,1235869
ورزشکار,21902
تخصصی,201925
ورطه,3481
ورقه,13707
تخلیه,37332
ورد,3470
تذکیر,8
تذکردادن,17
ورافتادن,3
وراندازکردن,1
واگذاشتن,45
تسلط,25104
تسلا,13229
تسبیح,2657
تجارت,502579
ترکیدن,1336
تجاوز,49460
تبصره,64603
ترکه,507
وادارکردن,71
واردکردن,929
وارستگی,173
وارفتن,9
ترنج,1221
ترمز,16092
ترغیبکردن,0
تجویز,19957
ترشکردن,0
ترسداشتن,0
تجربه,322773
تجربهکردن,0
تجزیهکردن,0
تجلی,8301
تره,17444
همخوانی,12590
تنگه,13619
بینه,761
بینهایت,228
یمین,386
تنگ,21086
تنین,18
همجنس,2981
بینش,7971
بینشان,610
تهاجمی,12172
تهاتری,798
یلخی,15
همدهنی,0
ید,7994
بیوه,2608
همزه,94
همسان,5637
همسر,103046
تندرو,16760
تنقیه,83
همدوره,391
تنور,3670
همراهی,85941
تنها,847673
همراهکردن,0
تقطیعکردن,0
هفدهمی,119
تودهای,10
توده,18303
توحید,10912
یونس,7418
توت,12503
بیمایه,3
ییلاق,1491
توزیعکردن,0
توزرد,46
هفتتیر,0
توری,1512
یومیه,396
یوسف,24700
هماندازه,0
هماهنگی,149026
هماوایی,10
بینام,39
بینایی,12490
هم,3945586
بیمقدار,108
بیمناسبت,0
بیمناک,657
توانایی,106361
همشهری,68906
همگانی,24331
تلکهگیر,0
تلکهبگیر,0
همکاری,580879
تلفن,233167
هنباز,0
یادکردن,80
هموغم,0
تمامقد,0
تاب,13354
تماشاچی,2720
تماس,141876
تلخ,53350
تاثیرگذار,46145
تقویت,224832
هنرمند,48050
تاثیرگذاشتن,42
تقلیل,9521
تقلیدکردن,9
تاتنهام,4129
هندی,37822
تل,14395
وکیل,45613
تقویتکردن,0
بکر,6860
تنبل,4195
هممسلک,0
بیگانه,22284
یاقوتی,797
هممیهن,0
بیگاه,1660
یافتن,56315
همنشین,946
یتیمشدن,0
همشکل,40
بیکار,28550
یبس,2
همصدایی,488
بیگفتگو,0
تمرینکردن,0
تمرین,78145
یاس,8223
بچهگانه,1
هموارکردن,48
تمایل,87875
همه,1336790
بیگناه,3052
بیگنه,4
بچهبازی,0
حالتدادن,0
پیامبری,1508
بدجور,633
داخل,336830
دادگاه,172489
مومیایی,2448
پیام,305424
پیالهفروشی,0
داخلشدن,0
داخله,2318
موقع,101232
مولد,19340
داد,1993275
داخلی,577238
خیابان,158595
پولکی,238
میت,7511
خونسرد,1390
میخکوب,1384
بدل,30831
خوشگل,950
بدعتگذار,26
پوچ,4150
میانه,42762
خونگرفتن,0
خونکردن,0
موفق,324170
موج,59294
بخت,18893
موسسه,237101
بخارپز,1338
داغشدن,0
داغان,384
داشتن,196243
پیروزشدن,24
داوطلب,30563
موجود,379580
بحثکردن,0
دانستن,15721
موزون,2911
بخشش,23268
بخیه,1335
بخیهزدن,0
پیداکردن,1446
بداخلاق,995
موضع,76567
دار,146710
موسیقی,179268
دارچینی,249
پیرامون,74575
بخشیدن,18025
پیر,18987
خوشهچینی,0
خندان,4243
خنیاگر,165
برجستهسازی,0
خوشهچین,0
خنثیکردن,0
ناارام,10
خموش,141
خنک,21537
خوابزده,16
برتربودن,5
برتریداشتن,0
خوابیده,2053
برج,67009
پهلوان,6064
پنس,3596
نااگاهانه,10
بردمیدن,6
خلل,3190
پنجمی,1422
نابسامانی,6446
خلق,74757
نااگاه,12
خمودی,113
خمارالوده,0
خمارالود,0
خم,14665
خواست,131664
پوستکلفت,0
خوشبختی,8120
خوشباورانه,3
بدیکردن,0
میلیون,1353649
بدکار,136
میلزدن,0
خورشیدی,37494
خوشه,7631
میز,48922
پوشیدن,11593
خوشخواب,57
برافروختن,370
مکان,73430
خوببودن,0
برانگیختن,1348
خواهشکردن,0
مکتب,20920
خورشید,40750
پوست,125968
میهمان,19915
برابریکردن,0
خودداری,66372
دایرنمودن,0
برزخ,2971
پیک,21582
دزدی,11260
باسواد,2226
منتشرشدن,34
منبتکار,0
باسک,347
درگیرکردن,95
منتزعکردن,0
منبتکاری,10
بازگرداندن,19251
دستاویز,1957
منتخب,69440
بازگوکردن,87
منتشرکردن,27
پیوندزدن,31
منصوبکردن,0
پیوسته,21172
پیوستن,29699
پینهدوز,0
منطقی,71721
منحنی,6929
درگوشی,628
منتظم,155
دریچه,10303
منجی,3585
باطلکردن,0
بازرگان,15007
ملخ,3084
چادر,15546
ملکه,12309
ممات,482
پکوپوز,0
بازخواندن,6
دستگیرکردن,18
دعا,32740
چارچوب,109900
دشمنی,21678
بازبینیکردن,0
بازنمایی,2033
پژمردن,20
بازیکردن,5
مناسببودن,0
دستدادن,11
بازیگر,134751
پیگیری,208576
منبت,877
دستوپابسته,0
دستوردادن,15
دستنویس,186
من,1748494
منظم,32491
پیشرفتن,11
دربند,3175
دربرگرفتن,36
دراویختن,0
درامدن,11
درام,8532
پیشقدمبودن,0
مهمانخانه,239
مهماندار,2212
بانمک,286
دربوداغانکردن,0
دربهدر,0
پیشدستی,203
دختر,148245
دایرکردن,81
موتیف,220
موثر,147828
دایره,16772
موازنه,4860
پیشدبستانی,1
پیشدانشگاهی,0
درازشدن,0
باواسطه,145
مو,39615
پیشنهادکردن,8
درمقابل,3935
درمان,319213
باقیگذاشتن,0
بالاانداختن,0
منفیکردن,0
درصد,1737431
پیلهور,3
منظور,341009
بافه,72
باقاعده,23
منعکردن,0
منعکسکردن,0
درست,277584
باند,74118
مهتابی,415
پیشینه,11930
بامزه,3281
درجهدار,1
بامیه,3100
پیشگامشدن,0
پیل,1745
پیغمبری,319
مه,26263
مهارت,59580
نخاله,1444
حواله,14119
نحوه,170208
پروازکردن,13
حیرتزده,15
نخست,315220
بندکردن,0
حوت,234
حیران,2580
پرورشیافتن,0
نجات,106356
نجاتدادن,0
نجاتدهنده,0
حمایتکردن,0
پرنده,24510
به,38228200
حقوق,473640
نرمه,223
حقشناس,14
نرمی,3323
بهار,98856
بندگی,4373
پرو,21852
پرهیزکردن,1
حلب,40705
نرخ,871191
خاموشکردن,0
خاصه,3963
ناپایدار,5821
خال,3937
ناپدیدشدن,330
نتراشیده,47
خاش,4852
ناکامشدن,0
خالی,100122
خامهزن,0
خامه,6225
بلاگردان,52
خام,159709
بلد,14067
خارجشدن,0
نباتی,16694
نبرد,46045
حکومت,83403
حکمکردن,0
حیوانی,9944
ناگهانی,32713
خارجساختن,0
پری,5496
خاتمهدادن,0
ناگفتنی,120
خاتم,18271
پرمایه,138
حرفه,95686
حرکت,288145
حریف,41971
حرفزدن,3
بهجاگذاردن,0
حرج,738
نشیمن,1244
حرکتدادن,0
حسابداری,13727
نشر,58724
نشسته,17060
حرکتکردن,1
پردازش,21214
نظمدهی,0
نظیر,136467
بهدستاوردن,0
نعمت,61976
حامل,40157
پرتقالی,553
نظامی,248997
نظرتنگ,11
پرحرارت,421
پرجوشوخروش,0
نظرکردن,28
حسابرسی,27595
پرسان,198
نساجی,19264
پرشتاب,3987
پرش,5866
نسبی,52386
حصار,6577
حشو,114
نسق,355
نزول,14678
حفاظ,1702
نزدیکی,59767
حضوریافتن,9
حضوری,28650
حسابگری,162
حسابگرانه,78
حسابگر,255
حسابکردن,0
بهتزده,1
پرسش,96594
نسنجیده,2305
نسیه,2569
پرسنده,13
بهبه,13
پرسشگرانه,62
برزدن,2
نازکردن,20
پلاک,32047
خشاب,795
برونته,271
پلمپ,6951
ناسازگار,2594
خستهکننده,0
بروبیا,37
خشکشدن,21
پلمب,10452
ناز,3057
برهمن,82
برهوت,434
خستهکردن,0
خزانهداری,21
پف,2177
پشک,13
بریدگی,912
خرگوش,1821
خرچنگ,1246
ناشناس,17036
خسته,23212
ناسالم,21920
ناسالمی,760
خسارت,112931
ناسنجیده,231
برفی,5404
خفه,6727
پناهگاه,6163
ناجور,973
خشکیدن,339
ناجوری,171
ناجی,4863
برفک,439
خلا,4290
نابودشدن,46
خلال,44628
ناتوان,10340
ناتوانی,20061
ناراحتی,25933
ناراست,152
برنامهریزیکردن,0
برنج,149225
خصوصی,387543
نار,1779
برقراربودن,1
ناخوشایند,7309
پلیکپی,1
برم,5558
نادیدهگرفتن,0
برچسب,379347
پستهای,823
پستی,21460
خدا,199074
نامناسب,41290
ختم,31044
خبرچینیکردن,0
خداداد,6906
نامطمین,7
پسزدن,0
نامزد,92006
نامزدی,20408
بستر,71768
خداوندگار,114
خبرچین,271
بغل,6809
بغلی,343
خانهدار,8
پرکردن,2686
بلاتکلیف,5547
پرچمدار,26543
بشکه,173647
خبریافتن,0
نامیدن,888
بشاش,531
خبردادن,46
پسزمینه,30
خردهفروش,0
ناقل,2611
خردهریزه,0
خردهریز,0
پشته,516
نالهکردن,0
نام,817496
ناقص,16290
برچسبزدن,2
خرمایی,357
برگزیدن,781
خردکردن,101
خرازی,10372
بزرگواربودن,3
بزرگکردن,0
بزغاله,645
خرابی,6340
پسند,9675
خرجکردن,0
نامبردن,25
بزرگشدن,0
نامتناسب,1972
خرافاتی,475
محکمکاری,3
سماق,1151
گناهالود,0
شلوغوپلوغ,0
زوزه,379
زی,1804
اراستن,0
شلوغپلوغ,0
قهر,10060
شلوغکردن,0
اسلام,269192
زورکی,229
قنادی,2119
قناس,20
اقوام,21482
شلوغ,14916
گمنام,24399
گاوچران,137
گمراهکردن,0
کرونا,1612
ماهانه,53960
ارابهران,0
کمیسیون,408776
گداختن,37
فساد,151721
اسم,66017
زیارتکردن,0
قهرمانی,129442
ضامن,17251
گمرک,112693
عین,126949
اسلحه,30134
کمینه,3932
سلف,14725
البرز,85585
عود,4663
ضربهخوردن,0
البانیایی,0
شفاهی,10916
شفت,1093
ضربه,92702
کمکردن,0
گنجیاب,1
زهرماری,39
شیدا,1418
شفاف,83172
کمککار,2
ضرر,60964
فشردن,3054
ارامگرفتن,0
سنبله,232
عوضشدن,0
عوضی,469
ضدویروس,613
ماهی,101600
قمر,4757
شل,16013
زود,53806
زور,20771
ارامشدن,0
زهره,6906
فشاردادن,97
زهی,1638
ماهیانه,16255
عوض,62326
کسب,404305
غرب,231327
مالی,809139
صنعت,1197946
قوی,88885
افشاکردن,32
افشاندن,60
قوچ,1125
کمعمر,0
مالاندن,2
کس,61456
صورتسازی,0
اسمی,17376
شنا,14653
سقوط,115062
زیرپایی,90
غرا,39
اسوده,26
غرغره,586
صمیمی,15419
فروند,55948
اسودگی,9
زیکزاک,5
شنیدنی,2063
زیگزاگ,169
صناعت,154
مال,32271
غربی,175911
صندلی,40693
صنایعدستی,7
قوم,9080
اقدام,651049
اقتصادی,1409521
قوت,45089
فزونی,4397
شمال,198761
فریم,10039
اسمانی,59
زید,2159
مانند,585242
گذر,31291
قو,1302
صیاد,8097
قوام,6264
زیان,65850
مانور,17225
ابله,798
شمرده,5034
زیردستی,155
کرکس,633
غالب,23555
اقاسی,2
سلامت,397510
شمع,5142
زیردست,521
اقتصاد,1106526
سلب,19514
عکاسی,32213
کرک,2643
ارایش,101
کشاندن,4439
طریق,582410
مبلسازی,3
زرشک,3496
طرفداری,3714
النگودولنگ,0
گازدادن,3
طرفدار,26426
شرمناک,21
الهی,80455
عمق,42769
قصد,232538
قصدداشتن,0
کنفی,124
طغیان,8542
سواری,56496
ابتدایی,60677
زشت,14588
کدیور,780
طراز,5852
شروعنمودن,0
شروعکردن,0
عملنمودن,0
مبدع,1145
المانی,536
عمله,923
طردکردن,18
طرحواره,382
گورکن,179
قصهپرداز,0
ابخوردن,0
استشمامکردن,0
کنه,14967
شرایط,788454
طلایی,49000
شربت,8782
سوراخسوراخکردن,0
کثیفی,1408
شرح,135132
شرحدادن,0
قسط,14064
اببر,0
طلبکار,5706
متر,142482
زبانه,3061
فلس,574
قرینه,996
سورنا,3906
زبانی,10808
کج,7582
اببستن,0
طلاسازی,489
سوت,8208
زدگی,9698
سواکردن,0
طفرهرفتن,0
مبهوت,2052
سود,532495
قسم,13640
قسمتکردن,0
زجردادن,0
کنگره,98358
سنگ,104318
شعبدهباز,0
شعبه,123601
گاهشمار,74
ضمانت,49644
کنارگذاشتن,624
مایه,24180
زندان,99700
گنهالود,0
قلمبه,198
قلب,105977
گنگ,1812
کردن,760208
ضمیمهکردن,0
گنهکار,218
استنکاف,1716
کناری,5082
ششگوشه,0
قلمزنی,262
زندهماندن,0
ابریز,6
زندهکردن,0
ضعف,93673
کرمداشتن,0
کمگذاشتن,0
ابری,17019
اراک,34368
سنجشکردن,0
کرمان,98956
زندانیشدن,0
عنایت,29878
عملی,79334
طبیعت,48588
فطیر,89
گوجهای,0
قطبنما,0
سهراهی,0
ابدیده,2
مباشر,3029
الف,78200
استعفا,31333
گودی,1162
زعفرانی,1818
سهپایه,0
شریک,34654
فعل,10493
عمو,5378
ارتش,210013
قطعه,104078
زمینه,788051
زمینی,79687
کنترلکردن,0
طاغوت,5951
ششگوش,0
زمردی,184
گواه,9953
مباحثه,2129
عمومی,678310
طباخی,407
ابراهیم,64069
کتیبه,2380
شکستهشدن,0
شکسته,17325
غیرطبیعی,4951
ستایشکردن,0
سرشکسته,148
اشتقاق,91
گسترشیافتن,0
سترون,152
گسترده,144095
شکلگرفتن,0
ستارهشمار,0
سرعت,262300
شکلدادن,0
شکلاتی,1939
لوس,2621
اطلس,7506
کلاش,757
سرشتن,3
گزیدن,420
شکاری,6275
گزندواردکردن,0
سجده,5102
فاکتور,16382
سرشاخ,365
سحر,20187
اثباتکردن,0
شهسوار,344
کلاف,2453
فتح,43067
اضافهکردن,1
شکافتن,484
ستارهدار,0
فراخواندن,828
اعتقادداشتن,1
اتشک,2
گرفتوگیر,0
فدراسیون,188621
گشتزدن,0
شگفتی,10012
اتفاق,346172
صاحبخانه,3771
صاحبسخن,0
لایحه,154246
لایعقل,27
گرفتارکردن,5
لیر,12538
گشودن,3617
اختلافداشتن,0
اعتدال,41109
اعتباری,235593
سبکسرانه,40
اشتباهی,15669
لولهبازکن,0
گرما,21060
سبککردن,0
شگرد,5453
کفی,1277
سرمایهداری,6
کمال,47743
کفنودفنکردن,0
شکوفه,3183
اعتراض,132399
گرفتاری,7459
شیرینی,27241
اجر,5651
اشکارکردن,0
اشکارنمودن,0
سربالا,346
اجراییات,803
سربسته,1162
اشک,18905
فاسدشدن,44
اجتماع,30037
سرایتکردن,0
اجتماعی,854619
لغو,184697
اشفته,53
اجتنابکردن,0
سرخگشتن,0
فارس,374835
اشنایی,339
سربی,576
سرخاب,283
لطمه,19196
سرخ,42376
فاتح,5983
اجرفرش,0
لزوم,109540
شیبسنج,0
اشنا,685
شیره,3773
غیرواقعی,9087
اجری,536
لهولورده,0
لنگ,2883
فامیلی,5227
گزافهگویی,1
سخنرانی,105131
فامیل,6865
اثرگذاشتن,18
شیعه,45654
سخنگو,7484
سرراهی,172
گرمخانه,983
اثرداشتن,0
گزافگویی,0
له,28479
سختشدن,0
سد,68149
لغوکردن,11
کلفت,1370
لجنی,81
اجازهدادن,0
سراغاز,15
لختی,445
سرامیک,6534
گرگ,6508
اجارهکردن,0
اصفهان,236339
احدیت,658
لمسکردن,0
فاطر,410
اجارهدار,0
لیره,1346
سفید,139292
کمرشد,0
سزاواری,41
مارک,17155
مارپیچ,1320
مارمولک,1539
صرفشدن,0
افتخاری,24445
مارگیر,86
غفلت,25469
فروختن,1967
افراطی,34254
کشرفتن,0
سستکردن,0
صف,48856
کشش,9682
صغیر,976
مادر,147426
مادامالعمر,2
ساعتساز,1
ماخذ,1259
صدفی,530
گرداوری,125
ابکی,21
اسیر,15058
فرمانده,192792
افتابپرست,0
گردان,21057
گلریزان,2095
صدمهدیده,0
صدمه,13698
شهرداری,278306
افزونی,564
کشته,93883
ماشین,117019
ساختمان,216979
غریب,17386
گلهمند,18
فروش,797509
ماسیدن,2
گلهدار,0
قیامت,10611
غرقکردن,0
ماشینیکردن,0
کشت,106368
اسیا,1345
فروغ,5037
مازو,80
صفه,679
غریبه,6367
ادبی,23022
ابورز,0
غریبی,5804
اداکردن,5
فروخفته,142
صفت,11117
ابوتابدادن,0
افرینش,30
ساختگی,8326
گله,16229
افریدگار,2
فرفره,273
اعیانی,896
ساندویچی,604
گردویی,244
اعلامکردن,0
فرازرسیدن,0
سایت,436398
کشکی,52
اتشزدن,0
کعب,202
صادق,86944
فرانمودن,0
کمتوان,1
صافوصوف,0
سرپا,3441
گفتگوکردن,5
سریع,110977
لیف,1226
صالح,35939
اعطاکردن,0
فرارو,12330
صاحبشدن,0
سایهسار,0
ساکتنمودن,0
ساکتکردن,0
سروش,22052
فراز,32369
صاحبقدم,0
لانه,8150
سایل,85
ابگاه,0
ابگینه,2
صد,87313
سرکشیدن,63
مات,3913
سالانه,166786
سالروز,44412
سالسا,130
صحیحوسالم,0
فرستنده,3715
فرع,2140
غلط,50652
سرکوبکردن,0
فرصتدادن,0
غلظت,11622
فرجه,4607
فرتوتی,46
سالگرد,43935
فراگیری,8095
لک,6517
لاشخور,84
صبر,49505
سرپرستی,23405
سالنامه,1298
سرکار,8349
سالوس,53
اخراجکردن,0
اتاقک,1875
سالیانه,39931
مجاری,9184
عقبمانده,0
شانس,49490
شانسی,5751
کاهشدادن,0
عقبه,4378
امنیت,409447
کوزه,1813
ریاست,386207
اس,116869
عقبماندن,4
ریا,2650
اموختن,17
مجازات,65720
ریدن,13
ریختوپاش,0
ریدمان,1
کاوش,5149
امروز,1213192
مثابه,12788
عقرب,2317
کاهگلی,269
کاهی,427
قاچاق,230530
عقد,44111
سیاهرو,0
اسانکردن,0
ازادشدن,7
رگوپی,0
رویایی,9187
ازپادراوردن,0
سیرابی,422
مجرا,659
کیسهکردن,0
عطش,5444
رویدادن,3
عطار,2908
شافعی,7556
امیزش,7
گیر,42428
امیزه,4
29بهمن,0
عجز,2163
روپوش,795
شالوده,1720
عقاب,5788
عقبافتاده,0
کوسه,3251
امیختن,2
روییدن,202
رویی,2944
عدد,112543
شال,3246
اموزگار,9
فوتکردن,0
استادکار,464
گویا,39488
سوگ,4635
استارتر,1046
کبریتی,423
گوهرشناس,24
شاکی,18368
K,22868
کودکانه,4643
قد,44560
ریکاوری,3752
امایش,14
فوری,39553
قدرتنمایی,252
9اذر,0
ظلمت,1426
استاندارد,165175
کوتوله,1508
شبه,44644
شبرو,36
متل,559
اره,1985
امانت,12766
علف,7719
عاجی,250
قدردانی,55780
کیوسک,2898
فولادی,18183
سیاستمدار,8552
قبول,148595
عایلهمندی,0
کور,12466
کینه,9284
عقیمکردن,0
امتحان,36987
کاپیتان,29692
سیال,2577
ارگان,14919
اسب,33510
اسباب,16082
کاکایویی,1
علاج,4746
H,10722
فوقالعاده,122
علافی,29
سوگواری,6501
متهم,180433
سی,219308
ریشهدار,4
کاکل,287
قتل,130091
گیرافتادن,75
قاطع,31332
سکس,753
انتزاعکردن,0
کافوری,2
15اردیبهشت,0
ازمایشکردن,0
محتوا,29795
فکل,134
روزنامه,330218
13ابان,0
ازمایش,380
انتظامی,157532
سیمرغ,18640
قاضی,88082
سیم,45359
ازمودنی,0
کالبد,3889
ازمودن,4
محبوب,60360
کوژی,6
محبت,29895
قاعده,22144
عشقی,5238
کوژ,45
کوچککردن,0
محتاطانه,4217
قاطیکردن,0
15شعبان,0
انتفاضه,6023
گچی,630
سیکلمه,4
10اردیبهشت,0
محوطه,29874
سیهرو,0
محو,10483
سیگارت,172
عزا,3925
محنت,578
10ابان,0
محسوب,210043
محکمنمودن,0
کاشانه,1175
عزیز,74519
محشر,848
گچ,4494
سپریشدن,0
کوچهبازاری,0
روزبهخیر,0
محمول,269
ازسرگرفتن,7
سینما,177414
سپرده,201819
سیرک,1175
مجمع,216660
قالیباف,88370
روشنی,23319
سیزدهمابان,0
کامیابی,8173
روشنشدن,2
شادکام,551
اناری,1533
گیرکردن,149
شاد,28739
شاداب,3906
عدمموفقیت,0
روشندل,656
شادمان,2694
فیل,5419
ازموده,8
ازهوشبردن,0
گیرایی,462
کولون,1379
فیش,20058
سیزدهابان,0
شارژ,50144
عدسی,1834
امکان,395130
روغن,124114
25اسفند,0
کامپیوتر,43502
کامروایی,88
19فروردین,0
روزی,111760
عصاره,8556
محارب,1317
گیلاس,6856
روزگار,19906
انباز,28
عرضه,566242
ازمون,583
عرضهداشتن,0
محاسبهگری,0
محاسبه,90420
روسیه,457413
روسی,50520
ازمیانبردن,0
گیسو,435
انبارکردن,82
کامرانی,2693
روستا,74625
قالب,199775
عراقی,60556
1دی,0
شاخص,359332
شتابزده,2811
استتار,1354
متزلزل,5071
متقاضی,54824
طیف,38949
متعجب,5222
ارزوکردن,0
گوشگرفتن,0
کوتاهکردن,0
استخراج,32265
cd,484
متشابه,271
گوشکردن,0
قران,4392
امامت,17337
شبی,7947
امادهشدن,0
فلک,4178
کتاب,298028
کوتاهی,43405
الکتریکی,25843
فلفل,16391
کژدم,176
الگو,24037
ارزق,9
زال,2009
کتابی,15092
ارم,3482
طور,570759
ارمان,548
شخصی,165220
سوز,14214
کتان,3130
ظاهر,90444
ظرافت,4887
استانه,710
الگوگذاری,1
طولانی,117982
متصدی,5537
شدن,1068533
اماره,673
فهم,25775
امارگر,0
امادگی,892
ارشد,184077
ارش,1057
کتوکلفت,0
متقلب,1067
الکترونیکی,130240
امار,1873
