id,search_value,synset,pos,semanticCategory,example,gloss,frequency
61294,ابشدن,20574,Noun,PROCESS,--نامعلوم--:حرارت شکلات را ذوب کرد *,--نامعلوم--:تبديل جسم جامد به مايع بر اثر افزايش دما *,7
18747,انتقالدادن,10032,Verb,possession,--نامعلوم--:من مالکيت خانه را به همسرم انتقال داده ام. *,--نامعلوم--:باعث تغيير مالکيت شدن *,7
35216,مقام,10159,Noun,COMMUNICATION,مقامهاي اين آهنگ را با ظرافت تنظيم نموده‌اند,توالي بنيادين اصوات با فيگورهاي مشخص ملودي,7
18589,اصلاحکردن,9370,Verb,change,--نامعلوم--:معلم تازه با فعاليت زياد موفق شد وضع تحصيلي شاگردان را بهبود دهد *,--نامعلوم--:افزايش کيفيت، بر طرف کردن نقص *,7
144606,خراب,45440,Adjective,behavior,وردنت:جو ناسالم دادگاه * --ازخودم--:جامعه فاسد *,--ازخودم--:ويژگي آن‌چه از سلامت اخلاقي برخوردار نيست *,7
50629,درستکردن,18699,Verb,creation,مو مرا درست کن,با مد روز پيش بردن,7
64783,تند,18352,Adjective,material,--نامعلوم--:بادي ناملايم باعث شد بچه سرما بخورد * --نامعلوم--:زلزله شديد * --نامعلوم--:طوفان سهمگين * سخن:حملهٔ کوبندهٔ امريکا عراق را وادار به عقب‌نشيني کرد * سخن:سخنراني کوبندهٔ نمايندهٔ مجلس را شنيديد؟ *,--نامعلوم--:داراي شدت و نيروي نسبتاً زياد *,7
28402,تبديل,10081,Noun,EVENT,--نامعلوم--:تبديل آب به بخار *,--نامعلوم--:تغيير يا دگرگوني چيزي به چيز ديگر *,7
15811,عامل,1727,Adjective,relation,--نامعلوم--:اين فروشگاه عامل فروش آن شرکت جهاني است  * --نامعلوم--: مدير عامل  * سخن:قرآن را آن‌کس پذيرفته است که هم کننده است هم داننده *,--نامعلوم--:ويژگي آن‌که انجام‌دهندة عملي است يا مجري امري شده يا مسئوليت اجراي تصميم يا کاري را بر عهده گرفته‌است. *,7
29085,توان,13531,Noun,COGNITION,صد و هزار توان هاي ده هستند,حاصل عمل به توان رساندن,7
163677,ترکيب,50343,Noun,COMMUNICATION,وب:فرايند ترکيب يکي از فرايندهاي واژه‌سازي است. *,--ساير--:فرايند ترکيب با کنار هم گذاشتن دو يا چند واژة بسيط يا تکواژ واژگاني (آزاد يا وابسته) و تکواژ آزاد دستوري يا دو واژة غيربسيط، واژة جديدي مي‌سازد. *,7
117993,عطف,36131,Noun,COMMUNICATION,از حرف ربط «هم» به معناي «نيز» مي‌توان براي عطف دو بند استفاده نمود.,سخني را به سخني بازگرداندن و آن را با حروف ربط به هم پيوند دادن,7
164971,پزو,50767,Noun,QUANTITY,وب:در سال 2012، حداقل دستمزدها در اروگوئه 7 هزار و 200 پزو بود. *,ويکي پديا:با کد ايزوي UYU، يکاي پول رايج در کشور اوروگوئه است. مسئوليت کنترل اين واحد پولي برعهده بانک مرکزي اوروگوئه قرار دارد. *,7
33890,قانون,11451,Noun,COMMUNICATION,قانوني براي مجازات آدم ربايي وجود دارد* قانون جديدي براي نحوه ي پرداخت مهريه وضع شده است.,سند رسمي که چگونگي عملکرد در زمينه اي خاص را نشان مي دهد,7
15590,سير,378,Adjective,body,سير بودم و غذا نخوردم,داراي حالت سيري,7
31373,رو,11383,Noun,COGNITION,--نامعلوم--:ظاهر آن با باطنش فرق داشت. دنيا هزار رو دارد *,--نامعلوم--:بعد آشکار و نمايان چيزي در مقابل طبيعت واقعي آن *,7
14338,بسته,1552,Adjective,relation,--نامعلوم--:با اقتصاد بسته نمي توان وارد فرايند جهاني سازي شد * وب:جامعه بسته *,--نامعلوم--:داراي محدوديت و موانع بسيار *,7
15755,ضعيف,132,Adjective,relation,--نامعلوم--:جنسش بد بود *,--نامعلوم--:داراي خصوصيات يا ويژگي هايي که با معيارهاي پذيرفته شده و معمول يا مطلوب و دلخواه سازگار نيست *,7
36539,هييت,10056,Noun,GROUP,--نامعلوم--:هيئت ابوالفضل‌العباس وارد مسجد شد. *,--نامعلوم--:گروهي که در ايام عزاداري به‌ويژه در ماه محرم به عزاداري مي‌پردازند. *,7
35685,ميل,13153,Noun,FEELING,--نامعلوم--:به خاطر گرسنگي شديد با ديدن غذا ميل و رغبت او به خوردن بيشتر شد. * --ازخودم--:علاقه‌منديش به عرصه سينما و هنر موروثي است. *,--نامعلوم--:حالتي که به واسطه‌ي وضعيتي ارضاء نشده به وجود مي‌آيد. *,7
28337,تاريخ,10216,Noun,COGNITION,رشتهٔ تاريخ، گاهي بخشي از علوم انساني و در پاره‌اي از موارد بخشي از علوم اجتماعي طبقه‌بندي شده‌است,دانش ثبت يا بررسي رويدادهاي گذشته,7
43499,سلام,16180,Noun,COMMUNICATION,--نامعلوم--:ضمن عرض سلام و خوشامد به دانشجويان گرامي، براي يکايکشان آرزوي موفقيت مي‌کنيم. * --نامعلوم--: سلام و درود بر جميع ياران. *,--نامعلوم--:واژه‌اي که در آغاز ديدار يا گفت‌وگو با کسي بر زبان آورده مي‌شود. *,7
37371,پول,12163,Noun,POSSESSION,او همه ي پولش را در ساختمان سازي سرمايه گذاري کرده است,ثروت فرد که به صورت پول در نظر گرفته شود,7
20524,دادن,9613,Verb,communication,--نامعلوم--:به تو امر مي‌دهم که آن آزمايش را عمل کن * سخن:خليفه مقرر فرمود که تمامي آن مال در يک روز از پدرم مستخلص گردانند.    *,--نامعلوم--:از موضع برتر خواستن از کسي که کاري انجام دهد *,7
30441,دارايي,14020,Noun,POSSESSION,فکر او بهترين دارايي اوست,آنچه فرد از غير ماديات در اختيار دارد,7
27901,برنامه,10051,Noun,COGNITION,--نامعلوم--:سياست رئيس کارخانه کاهش توليد براي حفظ قيمت است.  *,--نامعلوم--:برنامة کار يا شيوة عمل فرد يا نهادي براي ادارة امور مربوط به خود را گويند. *,7
47312,ساده,16248,Adjective,relation,هر جمله ساده دست کم يک فعل دارد * يک ماشين ساده ابزاري است که انجام کارها را براي انسان آسان‌تر مي‌کند,داراي عناصر کم و ساختار غيرپيچيده,7
131534,کره,41456,Noun,STATE,ويکي پديا:در بيماري رقصاک حرکات جهشي هستند و برعکس حرکت‌پريشي (آتتوز) اغلب مفاصل بزرگ درگيرند. *,ويکي پديا:نام گروهي از بيماري‌ها است که موجب حرکتي پرشي و غيرارادي به ويژه در شانه‌ها و مفاصل خاصره‌اي - راني و صورت مي‌شوند و موجب پيچ و تابي شبيه به رقص در بدن مي‌گردد. *,7
27870,برخورد,10661,Noun,ACT,--نامعلوم--:پليس در تلاش است برخورد ميان طرفداران دو تيم را کنترل نمايد *,--نامعلوم--:رفتار خشونت آميز بين دو گروه مخالف *,7
153318,خوب,47554,Adjective,behavior,--ازخودم--:از انسان‌هاي نيک روزگار بود *,--ازخودم--:ويژگي آن‌که از لحاظ اخلاقي و شخصيتي مورد تأييد است *,7
51924,در,19171,Noun,POSSESSION,--نامعلوم--:اين در گرانبها را از داخل اين صدف پيدا کرديم. *,--نامعلوم--:دُر، گوهري است معمولاً سفيد و درخشان که در داخل برخي از نرم‌تنان دوکفه‌اي مانند صدف مرواريد به وجود مي‌آيد. *,7
163984,شاسي,50427,Noun,ARTIFACT,وب:شاسي دوربين و گيمبال قابل استفاده براي فانتوم و اينسپاير 1 است، اين شاسي به همراه بالشتک‌هاي لرزشگير به مشتريان عزيز ارائه مي‌شود . *,سخن:قاب چهارگوشه‌اي در دوربين‌هاي آتليه که فيلم تخت را داخل آن نگهداري مي‌کنند. پشت آن بسته است و طرف ديگر، لغزانه‌اي دارد که در حالت عادي از رسيدن نور به فيلم جلوگيري مي‌کند. *,7
68674,صفحه,29015,Noun,ARTIFACT,صفحه يا ديسک به شکل بشفاب تخت است.,صفحۀ دايره‎اي شکل و تخت را گويند.,7
18865,بازکردن,7637,Verb,contact,مأموران راهداري راه را باز کردند.,از بين بردن مانعي که در راه عبور و حرکت کسي يا چيزي وجود دارد,7
42233,محور,12855,Noun,ARTIFACT,راه روستا نياز به تعميرات اساسي دارد,قسمتي از سطح زمين که براي رفت و آمد يا حمل ونقل آماده شده است,7
18755,انجامدادن,8044,Verb,social,کارت را درست انجام بده.,کاري را به پايان رساندن,7
35345,منبع,10099,Noun,PROCESS,خورشيد منبع اصلي نور و گرما براي زمين است.,فيزيک: نقطه يا بخشي از سيستم که از آن جا انرژي يا جرم به سيستم اضافه مي شود,7
30969,دينار,12206,Noun,POSSESSION,--نامعلوم--:مايه را رد کن بياد تا جنس را بهت بدهم *,--نامعلوم--:واژه هاي غير رسمي براي پول *,7
103470,صرف,33068,Adjective,conceptual,--نامعلوم--:هم‌معنايي مطلق * --نامعلوم--:تاريکي محض * --نامعلوم--:اتکاي صرف به تکنولوژي کافي نيست * --نامعلوم--:سکوت مطلق *,--نامعلوم--:خالص از هر چيز،کامل و بي چون و چرا *,7
64865,حق,27229,Adjective,relation,حرف حق* کار صواب,آن چه درست و بر مبناي حقيقت است,7
15441,سالم,409,Adjective,material,--نامعلوم--:اين دستگاه سالم است و درست کار مي کند *,--نامعلوم--:بدون عيب يا خرابي *,7
29189,تير,14409,Noun,ARTIFACT,--نامعلوم--:تيرهاي هوايي، تظاهرکنندگان را متفرق نکرد.  *,--نامعلوم--:گلوله‌اي که با تفنگ و مانند آن‌ها پرتاب مي‌شود. *,7
30071,خاک,12569,Noun,SUBSTANCE,--نامعلوم--:خاک اين منطقه حاوي مواد متفاوتي است *,--نامعلوم--:قسمتي از پوسته ي زمين که از گياخاک و سنگهاي متلاشي شده تشکيل شده است *,7
25560,خاليکردن,12125,Noun,ACT,--نامعلوم--:او هيچ روش ديگري براي تخلية عصبانيتش نيافت. براي تخلية خشم خود مشتش را محکم به ديوار کوبيد. *,--نامعلوم--:فعاليتي که منجر به آزاد کردن انرژي يا عواطف مي‌گردد. *,7
38450,گيره,14694,Noun,ARTIFACT,--نامعلوم--:چوب‌هاي صندلي را با گيره به يکديگر ببنديد. *,--نامعلوم--:نوعي قيد نجاري که با پيچاندن دستة آن فک متحرک آن جابه‌جا مي‌شود. *,7
24664,خان,14949,Noun,COMMUNICATION,خان باشتين,عنوان روساي قبايل و پادشاهان و فرمانروايان ترک و مغول,7
20261,خارجکردن,9569,Verb,body,دود سيگارش را از دهان بيرون داد,به بيرون از جايي فرستان و هدايت کردن,7
24378,بعد,27217,Adjective,relation,نفر بعدي,واقع در مرحله يا مرتبه پسين,7
